P5 | 89 | Позиция маркирована | Маркер #44
Q6 | 89 | Маркер уничтожен из конечной очереди | 
Q6 | 90 | Позиция маркирована | Маркер #44
P6 | 90 | Маркер покинул позицию | Маркер #44
P5 | 90 | Маркер покинул позицию | Маркер #44
Q2 | 90 | Позиция маркирована | Маркер #45
Q5 | 90 | Позиция маркирована | Маркер #45
Q6 | 90 | Маркер уничтожен из конечной очереди | 
P6 | 91 | Позиция маркирована | Маркер #45
P5 | 91 | Позиция маркирована | Маркер #45
Q6 | 91 | Маркер уничтожен из конечной очереди | 
Q6 | 92 | Позиция маркирована | Маркер #45
P6 | 92 | Маркер покинул позицию | Маркер #45
P5 | 92 | Маркер покинул позицию | Маркер #45
Q2 | 92 | Позиция маркирована | Маркер #46
Q5 | 92 | Позиция маркирована | Маркер #46
Q6 | 92 | Маркер уничтожен из конечной очереди | 
P6 | 93 | Позиция маркирована | Маркер #46
P5 | 93 | Позиция маркирована | Маркер #46
Q6 | 93 | Маркер уничтожен из конечной очереди | 
Q6 | 94 | Позиция маркирована | Маркер #46
P6 | 94 | Маркер покинул позицию | Маркер #46
P5 | 94 | Маркер покинул позицию | Маркер #46
Q2 | 94 | Позиция маркирована | Маркер #47
Q5 | 94 | Позиция маркирована | Маркер #47
Q6 | 94 | Маркер уничтожен из конечной очереди | 
P6 | 95 | Позиция маркирована | Маркер #47
P5 | 95 | Позиция маркирована | Маркер #47
Q6 | 95 | Маркер уничтожен из конечной очереди | 
Q6 | 96 | Позиция маркирована | Маркер #47
P6 | 96 | Маркер покинул позицию | Маркер #47
P5 | 96 | Маркер покинул позицию | Маркер #47
Q2 | 96 | Позиция маркирована | Маркер #48
Q5 | 96 | Позиция маркирована | Маркер #48
Q6 | 96 | Маркер уничтожен из конечной очереди | 
P6 | 97 | Позиция маркирована | Маркер #48
P5 | 97 | Позиция маркирована | Маркер #48
Q6 | 97 | Маркер уничтожен из конечной очереди | 
Q6 | 98 | Позиция маркирована | Маркер #48
P6 | 98 | Маркер покинул позицию | Маркер #48
P5 | 98 | Маркер покинул позицию | Маркер #48
Q2 | 98 | Позиция маркирована | Маркер #49
Q5 | 98 | Позиция маркирована | Маркер #49
